probe_id,probe_reference,agency_id,portal,property_address,property_url,property_price,property_status,enquiry_text,probe_email,probe_phone,probe_timestamp,observation_deadline,probe_status,compromised,compromise_reason,observation_closed_at,sent_from,observation_notes,created_at,updated_at
prb_msstv7xg_nksnc0,TEST-0001,ag_msstv7xg_bodbye,rightmove,"1 Synthetic Test Street, TESTFIXTURE, T3 5T1",https://example.com/novus-test-fixture-do-not-use,,,"SYNTHETIC — NOVUS E2E pipeline test enquiry, no real agency contacted.",novusprobes@gmail.com,447575333064,2026-08-14T10:52:13.924Z,2026-08-21T10:52:13.924Z,observing,FALSE,,,,SYNTHETIC TEST FIXTURE — paired with ag_msstv7xg_bodbye. Not a real probe.,2026-08-14T10:52:13.924Z,2026-08-14T10:52:13.924Z
prb_hist_0001,HIST-0001,ag_hist_ashtonwhite,rightmove,High Street,https://ashtonwhite.co.uk/property/laindon-common-road-little-burstead-billericay-6/,,,"Rightmove property enquiry. Declared: has a property to sell, yes, it is not yet on the market; wants more details on this property.",joe@getnovus.co.uk,7455506761,2026-08-10T20:53:05Z,,observing,,,,,Source lead-sheet Probe Sent: 2026-08-10 21:53:05 Europe/London (BST). probe_timestamp_source_value=2026-08-10 21:53:05; probe_timestamp_source_timezone=Europe/London (BST),2026-08-15T22:24:49Z,2026-08-15T22:24:49Z
prb_hist_0002,HIST-0002,ag_hist_stantonhockett,rightmove,"15 Wedgwood Way, Ashingdon, Rochford, SS4 3AS",https://www.rightmove.co.uk/properties/173617499,,,"Rightmove property enquiry. Declared: has a property to sell, yes, it is not yet on the market; wants more details on this property.",joe@getnovus.co.uk,7455506761,2026-08-10T20:53:05Z,,observing,,,,,Source lead-sheet Probe Sent: 2026-08-10 21:53:05 Europe/London (BST). probe_timestamp_source_value=2026-08-10 21:53:05; probe_timestamp_source_timezone=Europe/London (BST),2026-08-15T22:24:49Z,2026-08-15T22:24:49Z
prb_hist_0003,HIST-0003,ag_hist_quirkandpartners,rightmove,Perry Street,https://quirkandpartners.co.uk/property/laindon-common-road-little-burstead-billericay/,,,"Rightmove property enquiry. Declared: has a property to sell, yes, it is not yet on the market; wants more details on this property.",joe@getnovus.co.uk,7455506761,2026-08-10T20:53:05Z,,observing,,,,,"Source lead-sheet Probe Sent: 2026-08-10 21:53:05 Europe/London (BST). probe_timestamp_source_value=2026-08-10 21:53:05; probe_timestamp_source_timezone=Europe/London (BST); property_address_evidenced=UNKNOWN, fell back to property_address_recorded",2026-08-15T22:24:49Z,2026-08-15T22:24:49Z
prb_hist_0004,HIST-0004,ag_hist_hentonkirkman,rightmove,"Southend Road, Billericay, Essex, CM11 2RA",https://www.rightmove.co.uk/properties/88769709,,,"Rightmove property enquiry. Declared: has a property to sell, yes, it is not yet on the market; wants more details on this property.",joe@getnovus.co.uk,7455506761,2026-08-10T20:53:05Z,,observing,,,,,Source lead-sheet Probe Sent: 2026-08-10 21:53:05 Europe/London (BST). probe_timestamp_source_value=2026-08-10 21:53:05; probe_timestamp_source_timezone=Europe/London (BST),2026-08-15T22:24:49Z,2026-08-15T22:24:49Z
prb_hist_0005,HIST-0005,ag_hist_parabar,rightmove,UNKNOWN — replies reference Outwood Common Road and Kilbarry Walk only,https://parabar.co.uk/property/mountnessing-road-billericay-2/,,,"Rightmove property enquiry. Declared: has a property to sell, yes, it is not yet on the market; wants more details on this property.",joe@getnovus.co.uk,7455506761,2026-08-10T20:53:05Z,,observing,,,,,Source lead-sheet Probe Sent: 2026-08-10 21:53:05 Europe/London (BST). probe_timestamp_source_value=2026-08-10 21:53:05; probe_timestamp_source_timezone=Europe/London (BST); property_address_evidenced partially unresolved: UNKNOWN — replies reference Outwood Common Road and Kilbarry Walk only,2026-08-15T22:24:49Z,2026-08-15T22:24:49Z
prb_hist_0006,HIST-0006,ag_hist_tylerestates,rightmove,"Apt 16, Southwood Court, Southend Road, Billericay",https://www.tylerestates.co.uk/property/1-bed-retirement-property-for-sale-in-outwood-common-road-billericay-cm11/625002,,,"Rightmove property enquiry. Declared: has a property to sell, yes, it is not yet on the market; wants more details on this property.",joe@getnovus.co.uk,7455506761,2026-08-10T21:03:08Z,,observing,,,,,Source lead-sheet Probe Sent: 2026-08-10 22:03:08 Europe/London (BST). probe_timestamp_source_value=2026-08-10 22:03:08; probe_timestamp_source_timezone=Europe/London (BST) — UNCERTAIN,2026-08-15T22:24:49Z,2026-08-15T22:24:49Z
prb_hist_0007,HIST-0007,ag_hist_thepropertyspecialists,rightmove,"Walman House, St Ediths Court, Billericay",,,,"Rightmove property enquiry. Declared: has a property to sell, yes, it is not yet on the market; wants more details on this property.",joe@getnovus.co.uk,7455506761,2026-08-10T21:00:05Z,,observing,,,,,Source lead-sheet Probe Sent: 2026-08-10 22:00:05 Europe/London (BST). probe_timestamp_source_value=2026-08-10 22:00:05; probe_timestamp_source_timezone=Europe/London (BST),2026-08-15T22:24:49Z,2026-08-15T22:24:49Z
prb_hist_0008,HIST-0008,ag_hist_gibsonandbrennan,rightmove,"Whitmore Way, Basildon, SS14 (2 bed terraced, £285,000)",,,,"Rightmove property enquiry. Declared: has a property to sell, yes, it is not yet on the market; wants more details on this property.",joe@getnovus.co.uk,7455506761,2026-08-10T21:00:05Z,,observing,,,,,Source lead-sheet Probe Sent: 2026-08-10 22:00:05 Europe/London (BST). probe_timestamp_source_value=2026-08-10 22:00:05; probe_timestamp_source_timezone=Europe/London (BST),2026-08-15T22:24:49Z,2026-08-15T22:24:49Z
prb_hist_0009,HIST-0009,ag_hist_crownestatesagents,rightmove,Fox Cottage (relationship to 'Church Road' UNCONFIRMED),,,,"Rightmove property enquiry. Declared: has a property to sell, yes, it is not yet on the market; wants more details on this property.",joe@getnovus.co.uk,7455506761,2026-08-10T21:00:05Z,,observing,,,,,Source lead-sheet Probe Sent: 2026-08-10 22:00:05 Europe/London (BST). probe_timestamp_source_value=2026-08-10 22:00:05; probe_timestamp_source_timezone=Europe/London (BST),2026-08-15T22:24:49Z,2026-08-15T22:24:49Z
